Pattam_No,Pattam_Name,DOB_Thamiz_Month_Name,DOB_Thamiz_Stars_name,DOD_Remem_Thamiz_Month,DOD_Remem_Paksham,DOD_Remem_Thamiz_Thidhi,Pattam_Image,Pattam_Brindavan_image,Pattam_Brindavan_location,Pattam_Alive(Y/N),Pattam_Kainkaryam,Pattam_Thirynakshatram
1st Pattam,Srimad Srivan Adivan Sathakopa Sathakopa Yatheendra Maheadesikan,Purattasi,Kettai,Chithirai,Krishna Paksham,Ekadasi,,,Thirunarayanapuram,N,Y,Y
2nd Pattam,Srivan Sathakopa Sriman Narayana Yatheendra Mahadesikan,Avani,Kettai,Panguni,Krishna Paksham,Dwadasi,,,Thirunarayanapuram,N,N,N
3rd Pattam,Srivan Sathakopa Sri Parankusa Yatheendra Mahadesikan,Thai,Tiruvonam,Thai,Krishna Paksham,Chaturthi,,,Srimushnam,N,N,N
4th Pattam,Srivan Sathakopa Sri Srinivasa Yatheendra Mahadesikan,Margazhi,Chithirai,Chithirai,Krishna Paksham,Chaturthi,,,Singarkoil,N,N,N
5th Pattam,Srivan Sathakopa Sri Sathakopa Yatheendra Mahadeikan,Karthigai,Thirukkarthigai,Thai,Krishna Paksham,Navami,,,Theeram,N,N,N
6th Pattam,Srivan Sathakopa Sri Shasta Parankusha Yatheendra Mahadesikan,Thai,Poorattadhi,Masi,Krishna Paksham,Panchami,,,Kurnool,N,N,N
7th Pattam,Srivan Sathakopa Sri Sathakopa Yatheendra Mahadeikan,Vikasi,Visakam,Panguni,Poornima,,,,Srirangam,N,N,N
8th Pattam,Srivan Sathakopa Sri Parankusa Yatheendra Mahadesikan,Margazhi,Ashwani,Margazhi,Krishna Paksham,Panchami,,,Srirangam,N,N,N
9th Pattam,Srivan Sathakopa Sriman Narayana Yatheendra Mahadesikan,Ani,Thiruvadhirai,Margazhi,Poornima,,,,Ahobilam,N,N,N
10th Pattam,Srivan Sathakopa Sri Sathokopa Yatheendra Mahadesikan,Vaikasi,Visakam,Ani,Krishna Paksham,Dwadasi,,,Thirunarayanapuram,N,N,N
11th Pattam,Srivan Sathakopa Sri Srinivasa Yatheendra Mahadesikan,Aiyppasi,Moolam,Chithirai,Krishna Paksham,Chaturthi,,,Srirangam,N,N,N
12th Pattam,Srivan Sathakopa Sriman Narayana Yatheendra Mahadesikan,Purattasi,Poorvaphalguni,Purattasi,Krishna Paksham,Shashti,,,Thirunarayanapuram,N,N,N
