Azwar_Name,DOB_Thamiz_Month_Name,DOB_Thamiz_Stars_name,Azvar_ThirunakshatramY/N),Azvar_Kainkaryam(Y/N)
Sri Ramanujar,Chithirai,Thiruvathirai,Y,N
Madurakavi Azvar,Chithirai,Chitra,N,N
Nammazvar,Vaikasi,Visakam,Y,N
Periyazvar,Aani,Swathi,N,N
Aandal,Aadi, Pooram,N,N
Srimad Vedanta Desigan,Purattasi,Sravanam,Y,N
Sri Poigai Azvar,Aiyappasi,Thiruvonam,N,N
Sri Bhoodathazvar,Aiyappasi,Avittam,N,N
Sri Peyazvar,Aiyappasi,Sadayam,N,N
Sri Thirumangai Azvar,Karthigai,Karthigai,N,N
Sri Thiruppanazvar,Karthigai,Rohini,N,N
Thondaradi Podiazwar,Margazhi,Kettai,N,N
Thirumazisai Azwar,Thai,Magam,N,N
Kulasekara Azwar,Masi,Punarpoosam,N,N
