Thamiz_Month,Thamiz_Stars,Paksham,Ayanam,Thidhi
Chithirai,Ashvini,Krishna,Utharayanam,Pradhami
Vaikasi,Bharani,Shukla,Dhakshinayanam,Dvidhiyai
Aani,Karithigai,,,Thrudhiyai
Aadi,Rohini,,,Chadhurthi
Avani,Mrugasheersham,,,Panjami
Purattasi,Thiruvathurai,,,Shashti
Iyappasi,Punarpoosam,,,Sapthami
Karthigai,Poosam,,,Ashtami
Margazi,Aayilyam,,,Navami
Thai,Magam,,,Dasami
Masi,Pooram,,,Ekadasi
Panguni,Uthram,,,Dwadasi
,Hastham,,,Thrayodhasi
,Chithirai,,,Chadhurthasi
,Swathi,,,Powrnami
,Visakam,,,Amavasai
,Anusham,,,
,Kettai,,,
,Moolam,,,
,Pooradam,,,
,Uthiradam,,,
,Thiruvonam,,,
,Avittam,,,
,Sadayam,,,
,Poorattadhi,,,
,Uthirattadhi,,,
,Revathy,,,
